"Misiunea / Statul";"Nr. SV";"Localitatea";"Adresa"
"Republica Austria";"38/1";"or. Viena (sediul misiunii)";"Löwengasse 47/ 10, 1030 Vienna"
"Republica Azerbaidjan";"38/2";"or. Baku (sediul misiunii)";"Pr. Huseyn Javid 520, bl.12, Baku, AZ1073 "
"Republica Belarus";"38/3";"or. Minsk (sediul misiunii)";"220030 or. Minsk, str. Belorusskaia nr. 2"
"Regatul Belgiei";"38/4";"or. Bruxelles (sediul misiunii)";"1050 Bruxelles, avenue Franklin Roosevelt 57"
;"38/5";"or. Bruxelles (sediul misiunii)";"1050 Bruxelles, avenue Franklin Roosevelt 57"
"Republica Bulgară";"38/6";"or. Sofia (sediul misiunii)";"Str. G.S. Rakovski 152, Sofia 1142"
"Canada";"38/7";"or. Ottawa, ON (sediul misiunii)";"275 Slater Street Suite 801 K1P5H9, Ottawa, ON"
;"38/8";"or. Calgary, AB";"North Glenmore Park Community Association, 2231 Longridge Drive SW Calgary, AB, T3E 5N5"
;"38/9";"or. Montreal, QC";"Hotel Terrasse Royal, 5225 Côte-des-Neiges, Montréal, QC H3T 1Y1"
;"38/10";"or. Toronto, ON";" 1170 Sheppard Avenue West, Unit 15, Toronto ON, M3K 2A3"
"Republica Cehă";"38/11";"or. Praga (sediul misiunii)";"Juárezova 14, 160 00 Praha 6 - Bubeneč"
"Republica Populară Chineză";"38/12";"or. Beijing (sediul misiunii)";"2-9-1 Ta Yuan Diplomatic Office Building, Liangmahe Nanlu nr.14, Chaoyang district, Beijing 100600"
"Republica Cipru";"38/13";"or. Limassol";"or. Limassol, str. Amerikanas nr.11, Municipalitatea Yermasoyia , CP 4060 (hotel Atlantica Miramare Beach)"
"Regatul Danemarcei";"38/14";"or. Copenhaga";"Aalborg University Copenhagen, A. C. Meyers Vænge 15, 2450 Copenhagen SV"
"Republica Elenă";"38/15";"or. Atena (sediul misiunii)";"or. Atena, sec. Nea Filothei, str. G. Bacou 20 C.P. 11524 "
"Confederația Elvețiană";"38/16";"or. Geneva (sediul misiunii)";"Avenue de France, 23, 1202 Geneva"
"Emiratele Arabe Unite";"38/17";"or. Abu Dhabi (sediul misiunii)";"Villa No. 20, Al Darahy st., Abu Dhabi"
"Republică Estonia";"38/18";"or. Tallinn (sediul misiunii)";"10117 Tallinn, Narva mnt 7, scara 3, et.5, off. 546"
"Federaţia Rusă";"38/19";"or. Moscova (sediul misiunii)";"Рождественка, 7, sediul Ambasadei RM"
;"38/20";"or. Moscova ";"Рождественка, 11/4, к.1,стр.4, МАУ"
;"38/21";"or. Moscova ";"Пушечная 9/6,стр.1, ЦДРИ"
;"38/22";"or. Moscova ";"Пофсоюзная, 154,к. 7, ОКГ Столица"
;"38/23";"or. Moscova ";"Калужское шоссе, 10, с. Мамыри"
;"38/24";"regiunea Moscova";"г.Мытищи, МЦ Импульс, Силикатная,12"
;"38/25";"regiunea Moscova";"г.Одинцово, Вокзальная, 5, школа нр.5"
