Id,PollingStationNumber,Latitude,Longitude,County,Address,Locality,Institution
1,38/1,48.2067794038494,16.3942884358781,Republica Austria,"Löwengasse 47, 1030, Viena",or. Viena (sediul misiunii),or. Viena (sediul misiunii)
2,38/2,40.3681262699487,49.8180180692589,Republica Azerbaidjan,"Baku, bl.Huseyn Javid, 520, bl.12",or. Baku (sediul misiunii),or. Baku (sediul misiunii)
3,38/3,53.8934698414818,27.5610524027423,Republica Belarus,"Minsk, 220030, str. Belarusskaia nr.2",or. Minsk (sediul misiunii),or. Minsk (sediul misiunii)
4,38/4,50.8085899283451,4.38361853007582,Regatul Belgiei,"avenue Franklin Roosevelt 57, 1050",or. Bruxelles (sediul Ambasadei),or. Bruxelles (sediul Ambasadei)
5,38/5,50.8086614628759,4.38355911011305,Regatul Belgiei,"avenue Franklin Roosevelt 55, 1050",or. Bruxelles (sediul misiunii),or. Bruxelles (sediul misiunii)
6,38/6,42.6873012145021,23.3227361273277,Republica Bulgară,"1142, str. Georgi Sava Rakovski nr.152.",or. Sofia (sediul misiunii),or. Sofia (sediul misiunii)
7,38/7,45.4187817385598,-75.7015943798155,Canada,"275 Slater Street, Suite 801, Ottawa, ON K1P 5H9","or. Ottawa, ON (sediul misiunii)","or. Ottawa, ON (sediul misiunii)"
8,38/8,50.9981436148933,-114.112112774483,Canada,"North Glenmore Park Community Association, 2231 Longridge Drive SW, Calgary, T3E 5N5",or. Calgary,or. Calgary
9,38/9,45.4958765710129,-73.620721045332,Canada,"Hotel Terrasse Royal/5225 Côte-des-Neiges, Montréal, QC H3T 1Y","or. Montreal, QC","or. Montreal, QC"
10,38/10,43.7556746195695,-79.4715027652153,Canada,"1170 Sheppard Avenue West, Unit 15, Toronto ON, M3K 2A3","or. Toronto, ON","or. Toronto, ON"
11,38/11,50.1073245909772,14.4025831790535,Republica Cehă,"str. Juárezova 14, 16000, Praga 6 - Bubeneč",or. Praga (sediul misiunii),or. Praga (sediul misiunii)
12,38/12,39.9440905114237,116.445346116183,Republica Populară Chineză,"100600 Beijing, Chaoyang District, Liangmahe South Road 14, Ta Yuan Diplomatic Office Building 2-9-1",or. Beijing (sediul misiunii),or. Beijing (sediul misiunii)
13,38/13,34.7009209348037,33.0982510964076,Republica Cipru,"str. Stymfalidon 11, Potamos Yermasoyias 4046 (Atlantica Oasis Hotel)",or. Limassol,or. Limassol
14,38/14,55.6503854726054,12.5432750289258,Regatul Danemarcei,or. Copenhaga Aalborg University Copenhagen A. C. Meyers Vænge 15 2450 Copenhagen SV,or. Copenhaga,or. Copenhaga
15,38/15,37.9992192695219,23.7663728628901,Republica Elenă,"sec. Nea Filothei, str. Geor. Mpakou 20 C.P. 115 24",or. Atena (sediul misiunii),or. Atena (sediul misiunii)
16,38/16,46.2200106028935,6.14378155906306,Confederația Elvețiană,"Avenue de France 23, 1202. Geneva",or. Geneva (sediul misiunii),or. Geneva (sediul misiunii)
17,38/17,24.4446800032803,54.3877333965117,Emiratele Arabe Unite,"Vila Nr. 20, St. Al Darahy, Mushrif, Abu Dhabi, C.P. 31705",or. Abu Dhabi (sediul misiunii),or. Abu Dhabi (sediul misiunii)
18,38/18,59.4298319557056,24.747240611403,Republică Estonia,"str.Tatari 20,10116, Tallinn",or. Tallinn (sediul misiunii),or. Tallinn (sediul misiunii)
19,38/19,55.76188674807,37.6226534082661,Federaţia Rusă,"Sediul Ambasadei. Str. Rojdestvenka 7, statia de metrou Kuznețkii Most",or. Moscova (sediul misiunii),or. Moscova (sediul misiunii)
20,38/20,55.76358866132,37.6225494237804,Federaţia Rusă,"Institutul de Arhitectură din Moscova, str.Rojdestvenka 11/4, cladirea 1/4, ул. Рождественка, 11/4 корпус 1 строение 4:",or. Moscova,or. Moscova
21,38/21,55.7610249583099,37.6245925035536,Federaţia Rusă,"or.Moscova, Casa centrală a oamenilor de arta, str. Pusecinaia 9/6 cl. 1, statia de metrou Kuznețkii Most",or. Moscova,or. Moscova
22,38/22,55.6241166371365,37.4991724760229,Federaţia Rusă,"or. Moscova Complexul educațional de planificare urbana ""Capitala"", str. Profsoiuznaia, 154, cladirea 7 ул. Профсоюзная, 154 корпус 7",or. Moscova,or. Moscova
23,38/23,55.6010978199094,37.4705893102536,Federaţia Rusă,"or. Domodedovo, Sovhozul numelui lui V.I. Lenin, Casa cultura, cl.7, stația de metrou Domodedovscaia , auto 44, 308, 364, 404.",Regiunea Moscova,Regiunea Moscova
24,38/24,55.9279789399282,37.7738759711797,Federaţia Rusă,"reg. Moscova, or. Mîtisci, str. Silikatnaia nr. 12 Casa de cultură a tineretului",Regiunea Moscova,Regiunea Moscova
25,38/25,55.6745722808672,37.2835684418239,Federaţia Rusă,"reg. Moscova, or. Odintovo, scoala nr. 5, str. Vokzalnaia st.5",Regiunea Moscova,Regiunea Moscova
26,38/26,55.5889214413224,37.7525609067998,Federaţia Rusă,"Московская обл. Ленинский г.о.,поселок развилка,32.,Развиловская библиотека","Regiunea Moscova, Federaţia Rusă","Regiunea Moscova, Federaţia Rusă"
27,38/27,55.8855512060308,37.4296213729482,Federaţia Rusă,"г.Химки, Горшина,5а, школа нр.27","Regiunea Moscova, Federaţia Rusă","Regiunea Moscova, Federaţia Rusă"
28,38/28,55.145178185681,37.4680786496804,Federaţia Rusă,"г.Чехов, Чехова, 45, КТЦ Дружба","Regiunea Moscova, Federaţia Rusă","Regiunea Moscova, Federaţia Rusă"
29,38/29,55.676119766835,37.8975736503111,Federaţia Rusă,"г.Люберцы, Октябрьский проспект, 200,ДК",Regiunea Moscova,Regiunea Moscova
30,38/30,55.8200203972881,37.371637397764,Federaţia Rusă,"г.Красногорск, Игната Титова, 10, школа нр.19",or. Kostroma,or. Kostroma
31,38/31,59.94406431651,30.3446644799369,Federaţia Rusă,"Санкт Петербург, Мoховая, 15а, Дом национальностей.","or. Sankt-Petersburg, Federaţia Rusă","or. Sankt-Petersburg, Federaţia Rusă"
32,38/32,59.9707451990719,30.3434547394112,Federaţia Rusă,or. Sankt-Petersburg (nord) Casa de cultură str. Smoleacikova nr. 13,or. Sankt-Petersburg,or. Sankt-Petersburg
33,38/33,59.8762802323372,30.3159046807634,Federaţia Rusă,"strBlagodatnaia nr 20 Biblioteca specializată literatură juridică și economică Благодатная ул., 20",or. Sankt-Petersburg,or. Sankt-Petersburg
